dataset	cache_policy	cache_ratio	hit_rate
TW	degree	0	0
TW	degree	0.01	0.316538
TW	degree	0.02	0.445772
TW	degree	0.03	0.52384
TW	degree	0.04	0.578555
TW	degree	0.05	0.61994
TW	degree	0.06	0.653015
TW	degree	0.07	0.680324
TW	degree	0.08	0.703546
TW	degree	0.09	0.723694
TW	degree	0.1	0.741241
TW	degree	0.11	0.756435
TW	degree	0.12	0.769722
TW	degree	0.13	0.781513
TW	degree	0.14	0.791481
TW	degree	0.15	0.801193
TW	degree	0.16	0.809446
TW	degree	0.17	0.817019
TW	degree	0.18	0.824243
TW	degree	0.19	0.830801
TW	degree	0.2	0.836326
TW	degree	0.21	0.842038
TW	degree	0.22	0.848372
TW	degree	0.23	0.852847
TW	degree	0.24	0.858447
TW	degree	0.25	0.862652
TW	degree	0.26	0.867836
TW	degree	0.27	0.871709
TW	degree	0.28	0.876791
TW	degree	0.29	0.880049
TW	degree	0.3	0.884792
TW	degree	0.31	0.888328
TW	degree	0.32	0.891817
TW	degree	0.33	0.896266
TW	degree	0.34	0.899078
TW	degree	0.35	0.902406
TW	degree	0.36	0.906494
TW	degree	0.37	0.90935
TW	degree	0.38	0.91206
TW	degree	0.39	0.915026
TW	degree	0.4	0.918712
TW	degree	0.41	0.921092
TW	degree	0.42	0.923555
TW	degree	0.43	0.926067
TW	degree	0.44	0.929381
TW	degree	0.45	0.931743
TW	degree	0.46	0.93366
TW	degree	0.47	0.936019
TW	degree	0.48	0.938079
TW	degree	0.49	0.941
TW	degree	0.5	0.943141
TW	degree	0.51	0.945025
TW	degree	0.52	0.946714
TW	degree	0.53	0.948593
TW	degree	0.54	0.950311
TW	degree	0.55	0.952888
TW	degree	0.56	0.954766
TW	degree	0.57	0.956582
TW	degree	0.58	0.957787
TW	degree	0.59	0.959382
TW	degree	0.6	0.960869
TW	degree	0.61	0.962375
TW	degree	0.62	0.964584
TW	degree	0.63	0.966204
TW	degree	0.64	0.967887
TW	degree	0.65	0.969051
TW	degree	0.66	0.970169
TW	degree	0.67	0.971416
TW	degree	0.68	0.972497
TW	degree	0.69	0.97388
TW	degree	0.7	0.975671
TW	degree	0.71	0.977083
TW	degree	0.72	0.978586
TW	degree	0.73	0.979518
TW	degree	0.74	0.980272
TW	degree	0.75	0.981359
TW	degree	0.76	0.98227
TW	degree	0.77	0.983323
TW	degree	0.78	0.984903
TW	degree	0.79	0.986075
TW	degree	0.8	0.987407
TW	degree	0.81	0.988282
TW	degree	0.82	0.988741
TW	degree	0.83	0.98967
TW	degree	0.84	0.990378
TW	degree	0.85	0.991228
TW	degree	0.86	0.992503
TW	degree	0.87	0.993469
TW	degree	0.88	0.994569
TW	degree	0.89	0.995134
TW	degree	0.9	0.995691
TW	degree	0.91	0.99622
TW	degree	0.92	0.996724
TW	degree	0.93	0.997481
TW	degree	0.94	0.998256
TW	degree	0.95	0.998986
TW	degree	0.96	0.999483
TW	degree	0.97	0.999642
TW	degree	0.98	0.999758
TW	degree	0.99	0.999879
TW	degree	1	1
TW	presample	0	0
TW	presample	0.01	0.345095
TW	presample	0.02	0.474833
TW	presample	0.03	0.552159
TW	presample	0.04	0.605584
TW	presample	0.05	0.645858
TW	presample	0.06	0.679515
TW	presample	0.07	0.705232
TW	presample	0.08	0.729351
TW	presample	0.09	0.745657
TW	presample	0.1	0.762161
TW	presample	0.11	0.780529
TW	presample	0.12	0.795229
TW	presample	0.13	0.805532
TW	presample	0.14	0.813413
TW	presample	0.15	0.821229
TW	presample	0.16	0.828505
TW	presample	0.17	0.83607
TW	presample	0.18	0.845258
TW	presample	0.19	0.856006
TW	presample	0.2	0.865563
TW	presample	0.21	0.872916
TW	presample	0.22	0.880192
TW	presample	0.23	0.88726
TW	presample	0.24	0.894104
TW	presample	0.25	0.900215
TW	presample	0.26	0.90357
TW	presample	0.27	0.905497
TW	presample	0.28	0.907876
TW	presample	0.29	0.909008
TW	presample	0.3	0.910416
TW	presample	0.31	0.911875
TW	presample	0.32	0.913537
TW	presample	0.33	0.914376
TW	presample	0.34	0.915331
TW	presample	0.35	0.917306
TW	presample	0.36	0.918174
TW	presample	0.37	0.919149
TW	presample	0.38	0.920314
TW	presample	0.39	0.921387
TW	presample	0.4	0.922701
TW	presample	0.41	0.923715
TW	presample	0.42	0.924878
TW	presample	0.43	0.925943
TW	presample	0.44	0.927037
TW	presample	0.45	0.928149
TW	presample	0.46	0.929212
TW	presample	0.47	0.930346
TW	presample	0.48	0.931403
TW	presample	0.49	0.932894
TW	presample	0.5	0.934044
TW	presample	0.51	0.93543
TW	presample	0.52	0.936611
TW	presample	0.53	0.938287
TW	presample	0.54	0.939629
TW	presample	0.55	0.941978
TW	presample	0.56	0.944323
TW	presample	0.57	0.946604
TW	presample	0.58	0.949514
TW	presample	0.59	0.952268
TW	presample	0.6	0.95531
TW	presample	0.61	0.957719
TW	presample	0.62	0.960117
TW	presample	0.63	0.961744
TW	presample	0.64	0.962951
TW	presample	0.65	0.964268
TW	presample	0.66	0.965467
TW	presample	0.67	0.966689
TW	presample	0.68	0.967928
TW	presample	0.69	0.969213
TW	presample	0.7	0.970454
TW	presample	0.71	0.971632
TW	presample	0.72	0.972883
TW	presample	0.73	0.974088
TW	presample	0.74	0.975318
TW	presample	0.75	0.976527
TW	presample	0.76	0.977716
TW	presample	0.77	0.978906
TW	presample	0.78	0.980096
TW	presample	0.79	0.981257
TW	presample	0.8	0.982434
TW	presample	0.81	0.98358
TW	presample	0.82	0.984752
TW	presample	0.83	0.985925
TW	presample	0.84	0.987055
TW	presample	0.85	0.988144
TW	presample	0.86	0.989184
TW	presample	0.87	0.990174
TW	presample	0.88	0.991151
TW	presample	0.89	0.99211
